GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kafka-example,com.example.kafkaexample.entities,HolderAccount.Builder,0,17,0,0,0,6,0,2,0,2
kafka-example,com.example.kafkaexample.entities,Holder,12,38,0,0,1,7,1,11,1,11
kafka-example,com.example.kafkaexample.entities,HolderAccount,27,34,0,0,1,11,4,7,4,7
kafka-example,com.example.kafkaexample.consumer,HolderAccountConsumer,21,14,0,0,5,3,1,2,1,2
kafka-example,com.example.kafkaexample.consumer,HolderConsumer,38,14,0,0,9,3,2,2,2,2
kafka-example,com.example.kafkaexample.service,HolderAccountService,0,30,0,0,0,7,0,3,0,3
kafka-example,com.example.kafkaexample.service,HolderService,0,13,0,0,0,3,0,3,0,3
kafka-example,com.example.kafkaexample,KafkaApplication,5,3,0,0,2,1,1,1,1,1
kafka-example,com.example.kafkaexample.producer,HolderAccountProducer,12,7,0,0,3,2,1,2,1,2
kafka-example,com.example.kafkaexample.producer,HolderProducer,24,7,0,0,6,2,2,2,2,2
kafka-example,com.example.kafkaexample.controllers,MessageController,15,3,0,0,3,1,2,1,2,1
kafka-example,com.example.kafkaexample.config,KafkaConsumerConfig,0,42,0,0,0,10,0,3,0,3
kafka-example,com.example.kafkaexample.config,KafkaProducerConfig,22,33,0,0,5,7,1,3,1,3
